"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","1302603","2800308","-0.001719456066482445","[1302603,5300108,2800308]","[-1.0,-0.1850985821133786,-0.001719456066482445]"
"0","1302603","1501402","-0.09169026321712141","[1302603,1501402]","[-1.0,-0.09169026321712141]"
"0","1302603","3106200","-6.238559229138065E-4","[1302603,3304557,3106200]","[-1.0,-0.06165569274412616,-6.238559229138065E-4]"
"0","1302603","1400100","-0.05301634573613386","[1302603,1400100]","[-1.0,-0.05301634573613386]"
"0","1302603","5300108","-0.1850985821133786","[1302603,5300108]","[-1.0,-0.1850985821133786]"
"0","1302603","5002704","-0.001889109623227715","[1302603,5300108,5002704]","[-1.0,-0.1850985821133786,-0.001889109623227715]"
"0","1302603","5103403","-0.001972699542711227","[1302603,1100205,5103403]","[-1.0,-0.06429558408659106,-0.001972699542711227]"
"0","1302603","4106902","-2.850092763233586E-4","[1302603,5300108,3550308,4106902]","[-1.0,-0.1850985821133786,-0.023007617858019077,-2.850092763233586E-4]"
"0","1302603","4205407","-0.0021005852412162977","[1302603,5300108,4205407]","[-1.0,-0.1850985821133786,-0.0021005852412162977]"
"0","1302603","2304400","-0.07287081477449374","[1302603,2304400]","[-1.0,-0.07287081477449374]"
"0","1302603","5208707","-0.005914367892102353","[1302603,5300108,5208707]","[-1.0,-0.1850985821133786,-0.005914367892102353]"
"0","1302603","2507507","-9.224047011912438E-4","[1302603,2611606,2507507]","[-1.0,-0.035528946555775966,-9.224047011912438E-4]"
"0","1302603","1600303","-0.01093146254976696","[1302603,1501402,1600303]","[-1.0,-0.09169026321712141,-0.01093146254976696]"
"0","1302603","2704302","-3.34729835165116E-4","[1302603,2611606,2704302]","[-1.0,-0.035528946555775966,-3.34729835165116E-4]"
"0","1302603","1302603","-1.0","[1302603]","[-1.0]"
"0","1302603","2408102","-4.5818729218189915E-4","[1302603,2304400,2408102]","[-1.0,-0.07287081477449374,-4.5818729218189915E-4]"
"0","1302603","1721000","-0.0023827690288144455","[1302603,5300108,1721000]","[-1.0,-0.1850985821133786,-0.0023827690288144455]"
"0","1302603","4314902","-0.0062630315928680486","[1302603,5300108,4314902]","[-1.0,-0.1850985821133786,-0.0062630315928680486]"
"0","1302603","1100205","-0.06429558408659106","[1302603,1100205]","[-1.0,-0.06429558408659106]"
"0","1302603","2611606","-0.035528946555775966","[1302603,2611606]","[-1.0,-0.035528946555775966]"
"0","1302603","1200401","-0.01469179677481825","[1302603,1200401]","[-1.0,-0.01469179677481825]"
"0","1302603","3304557","-0.06165569274412616","[1302603,3304557]","[-1.0,-0.06165569274412616]"
"0","1302603","2927408","-0.00656591709146201","[1302603,5300108,2927408]","[-1.0,-0.1850985821133786,-0.00656591709146201]"
"0","1302603","2111300","-0.004228947196781884","[1302603,5300108,2111300]","[-1.0,-0.1850985821133786,-0.004228947196781884]"
"0","1302603","3550308","-0.023007617858019077","[1302603,5300108,3550308]","[-1.0,-0.1850985821133786,-0.023007617858019077]"
"0","1302603","2211001","-0.00432439694616602","[1302603,5300108,2211001]","[-1.0,-0.1850985821133786,-0.00432439694616602]"
"0","1302603","3205309","-0.0024559768805859123","[1302603,3304557,3205309]","[-1.0,-0.06165569274412616,-0.0024559768805859123]"
